model_name,query_id,latency_seconds,input_tokens,output_tokens,reasoning_tokens,inference_speed_tps,cost_dollars
gpt-5.5,astma_bij_volwassenen_0014_0003,11.9361,1395,434,291,36.36,0.02385
gpt-5.5,astma_bij_volwassenen_0004_0002,7.9824,1011,309,158,38.71,0.01663
gpt-5.5,astma_bij_volwassenen_0002_0002,4.9213,776,152,101,30.89,0.01158
gpt-5.5,diabetes_0009_0054,25.4477,697,1090,1034,42.83,0.03174
gpt-5.5,diabetes_0007_0013,38.6671,290,1602,1552,41.43,0.03875
gpt-5.5,diabetes_0007_0009,115.3502,259,5373,5330,46.58,0.12332
gpt-5.5,dementie_0003_0002,18.0338,266,669,516,37.1,0.01632
gpt-5.5,dementie_0002_0013,10.0568,420,430,409,42.76,0.01416
gpt-5.5,dementie_0002_0009,128.8573,276,5753,5688,44.65,0.13182
gpt-5.5,depressie_0005_0001,26.7335,388,1087,1034,40.66,0.02823
gpt-5.5,depressie_0007_0002,57.5655,287,2651,2588,46.05,0.06217
gpt-5.5,depressie_0001_0005,11.7944,386,586,516,49.68,0.01674
gpt-5.5,COPD_0003_0002,20.5738,1671,1125,1032,54.68,0.04307
gpt-5.5,COPD_0006_0001,61.9853,229,2760,2588,44.53,0.06274
gpt-5.5,COPD_0007_0002,15.3876,926,746,516,48.48,0.02462
gpt-5.5,angst_0006_0015,13.2067,445,603,516,45.66,0.01759
gpt-5.5,angst_0007_0034,144.7017,198,5798,5696,40.07,0.13154
gpt-5.5,angst_0008_0001,46.1753,1278,1179,1034,25.53,0.03927
gpt-5.5,chronische nierschade_0004_0001,13.6894,864,626,516,45.73,0.02257
gpt-5.5,chronische nierschade_0008_0009,11.2328,210,570,516,50.74,0.01458
gpt-5.5,chronische nierschade_0010_0021,55.0982,414,2144,2070,38.91,0.05207
gpt-5.5,influenza_0008_0001,28.5134,325,1093,1034,38.33,0.02759
gpt-5.5,influenza_0009_0007,105.0672,276,5324,5131,50.67,0.12072
gpt-5.5,influenza_0009_0011,38.5699,410,1628,1552,42.21,0.04039
gpt-5.5,hartfalen_0007_0012,41.7154,2341,2116,2070,50.72,0.07343
gpt-5.5,hartfalen_0001_0001,74.806,287,3699,3624,49.45,0.08561
gpt-5.5,hartfalen_0006_0004,24.2898,251,1111,1034,45.74,0.02696
gpt-5.5,hand-en-polsklachten_0023_0003,46.8857,407,2120,2070,45.22,0.05172
gpt-5.5,hand-en-polsklachten_0020_0001,57.3757,353,2671,2588,46.55,0.06314
gpt-5.5,hand-en-polsklachten_0012_0001,36.4493,609,1668,1552,45.76,0.04308
gpt-5.4,astma_bij_volwassenen_0014_0003,10.475,1395,712,516,67.97,0.01477
gpt-5.4,astma_bij_volwassenen_0004_0002,9.2871,1011,535,362,57.61,0.01074
gpt-5.4,astma_bij_volwassenen_0002_0002,4.0567,776,227,168,55.96,0.00659
gpt-5.4,diabetes_0009_0054,10.7891,697,583,516,54.04,0.01011
gpt-5.4,diabetes_0007_0013,7.9222,290,523,460,66.02,0.00717
gpt-5.4,diabetes_0007_0009,137.6092,259,8460,8431,61.48,0.09655
gpt-5.4,dementie_0003_0002,22.5122,266,1180,1034,52.42,0.01396
gpt-5.4,dementie_0002_0013,13.9667,420,818,780,58.57,0.01136
gpt-5.4,dementie_0002_0009,81.6687,276,4449,4390,54.48,0.05132
gpt-5.4,depressie_0005_0001,10.0284,388,603,516,60.13,0.00848
gpt-5.4,depressie_0007_0002,39.127,287,2654,2557,67.83,0.03095
gpt-5.4,depressie_0001_0005,8.4167,386,508,422,60.36,0.00741
gpt-5.4,COPD_0003_0002,7.9824,1671,513,399,64.27,0.01454
gpt-5.4,COPD_0006_0001,30.6976,229,1753,1552,57.11,0.01990
gpt-5.4,COPD_0007_0002,12.1589,926,761,516,62.59,0.01240
gpt-5.4,angst_0006_0015,11.8417,445,647,516,54.64,0.00905
gpt-5.4,angst_0007_0034,94.3646,198,5301,5178,56.18,0.06011
gpt-5.4,angst_0008_0001,11.6481,1278,703,516,60.35,0.01406
gpt-5.4,chronische nierschade_0004_0001,6.9169,864,440,323,63.61,0.00916
gpt-5.4,chronische nierschade_0008_0009,50.0645,210,3586,3500,71.63,0.04108
gpt-5.4,chronische nierschade_0010_0021,85.2938,414,5210,5139,61.08,0.06060
gpt-5.4,influenza_0008_0001,47.3452,325,2665,2588,56.29,0.03140
gpt-5.4,influenza_0009_0007,54.7308,276,3760,3624,68.7,0.04313
gpt-5.4,influenza_0009_0011,7.3966,410,517,398,69.9,0.00746
gpt-5.4,hartfalen_0007_0012,6.9626,2341,381,267,54.72,0.01683
gpt-5.4,hartfalen_0001_0001,25.0637,287,1498,1422,59.77,0.01806
gpt-5.4,hartfalen_0006_0004,20.7701,251,1415,1313,68.13,0.01677
gpt-5.4,hand-en-polsklachten_0023_0003,20.0185,407,1121,1029,56.0,0.01440
gpt-5.4,hand-en-polsklachten_0020_0001,151.1677,353,9268,9178,61.31,0.10584
gpt-5.4,hand-en-polsklachten_0012_0001,32.612,609,2250,2056,68.99,0.02767
claude-opus-4-7,astma_bij_volwassenen_0014_0003,7.9243,2714,480,0,60.57,0.03194
claude-opus-4-7,astma_bij_volwassenen_0004_0002,6.6644,1783,330,0,49.52,0.02113
claude-opus-4-7,astma_bij_volwassenen_0002_0002,2.8968,1334,127,0,43.84,0.01461
claude-opus-4-7,diabetes_0009_0054,3.0536,1270,85,0,27.84,0.01355
claude-opus-4-7,diabetes_0007_0013,3.5415,568,161,0,45.46,0.00729
claude-opus-4-7,diabetes_0007_0009,3.7159,459,128,0,34.45,0.00587
claude-opus-4-7,dementie_0003_0002,5.6884,548,316,0,55.55,0.00864
claude-opus-4-7,dementie_0002_0013,4.5829,757,202,0,44.08,0.00959
claude-opus-4-7,dementie_0002_0009,3.7795,534,141,0,37.31,0.00675
claude-opus-4-7,depressie_0005_0001,4.5822,763,165,0,36.01,0.00928
claude-opus-4-7,depressie_0007_0002,4.5032,562,161,0,35.75,0.00723
claude-opus-4-7,depressie_0001_0005,5.814,738,232,0,39.9,0.00970
claude-opus-4-7,COPD_0003_0002,6.2632,2998,307,0,49.02,0.03305
claude-opus-4-7,COPD_0006_0001,8.5307,431,538,0,63.07,0.00969
claude-opus-4-7,COPD_0007_0002,7.4543,1703,546,0,73.25,0.02249
claude-opus-4-7,angst_0006_0015,7.3159,934,388,0,53.03,0.01322
claude-opus-4-7,angst_0007_0034,9.2306,373,454,0,49.18,0.00827
claude-opus-4-7,angst_0008_0001,6.3178,2506,253,0,40.05,0.02759
claude-opus-4-7,chronische nierschade_0004_0001,6.8755,1500,342,0,49.74,0.01842
claude-opus-4-7,chronische nierschade_0008_0009,5.6196,386,249,0,44.31,0.00635
claude-opus-4-7,chronische nierschade_0010_0021,4.3999,775,227,0,51.59,0.01002
claude-opus-4-7,influenza_0008_0001,3.5285,635,118,0,33.44,0.00753
claude-opus-4-7,influenza_0009_0007,7.3144,505,380,0,51.95,0.00885
claude-opus-4-7,influenza_0009_0011,5.8141,786,311,0,53.49,0.01097
claude-opus-4-7,hartfalen_0007_0012,5.902,3632,188,0,31.85,0.03820
claude-opus-4-7,hartfalen_0001_0001,2.9154,545,120,0,41.16,0.00665
claude-opus-4-7,hartfalen_0006_0004,2.7186,454,99,0,36.42,0.00553
claude-opus-4-7,hand-en-polsklachten_0023_0003,5.9552,830,202,0,33.92,0.01032
claude-opus-4-7,hand-en-polsklachten_0020_0001,4.5197,589,141,0,31.2,0.00730
claude-opus-4-7,hand-en-polsklachten_0012_0001,9.07,1093,452,0,49.83,0.01545
kimi-k2.6,astma_bij_volwassenen_0014_0003,6.8009,1903,642,0,94.4,0.00433
