model_name,query_id,latency_seconds,input_tokens,output_tokens,reasoning_tokens,inference_speed_tps,cost_dollars
gpt-5.5,dementie_0003_0001,7.0454,1459,182,148,25.83,0.01275
gpt-5.5,angst_0008_0002,9.0471,1497,220,127,24.32,0.01409
gpt-5.5,diabetes_0009_0012,9.5532,2137,260,169,27.22,0.01849
gpt-5.5,influenza_0008_0001,9.9011,2062,317,232,32.02,0.01982
gpt-5.5,diabetes_0009_0013,6.728,431,211,170,31.36,0.00848
gpt-5.5,hartfalen_0007_0007,11.532,1217,432,346,37.46,0.01904
gpt-5.5,angst_0008_0008,8.9394,2413,376,248,42.06,0.02334
gpt-5.5,dementie_0002_0001,20.8727,1362,834,516,39.96,0.03183
gpt-5.5,COPD_0007_0002,34.2138,3879,1250,1034,36.53,0.0569
gpt-5.5,influenza_0007_0001,16.0573,1060,539,339,33.57,0.02147
gpt-5.5,hand-en-polsklachten_0008_0001,14.6766,827,520,295,35.43,0.01973
gpt-5.5,COPD_0007_0001,10.4007,1258,305,196,29.32,0.01544
gpt-5.5,COPD_0006_0001,42.6603,1689,1860,1552,43.6,0.06424
gpt-5.5,dementie_0002_0007,18.8643,1266,715,516,37.9,0.02778
gpt-5.5,angst_0010_0001,15.9674,446,672,516,42.09,0.02239
gpt-5.5,hand-en-polsklachten_0008_0002,9.9557,2737,437,271,43.89,0.02679
gpt-5.5,diabetes_0009_0007,32.8775,1663,1717,1552,52.22,0.05983
gpt-5.5,influenza_0009_0002,19.472,2316,756,516,38.83,0.03426
gpt-5.5,dementie_0007_0001,7.2092,559,213,106,29.55,0.00919
gpt-5.5,influenza_0011_0001,5.1241,258,194,127,37.86,0.00711
gpt-5.5,diabetes_0009_0016,16.2122,1463,656,516,40.46,0.02699
gpt-5.5,diabetes_0009_0008,3.8284,959,150,102,39.18,0.00929
gpt-5.5,COPD_0010_0002,20.2352,1600,721,516,35.63,0.02963
gpt-5.5,COPD_0003_0002,12.8613,4666,594,516,46.18,0.04115
gpt-5.5,angst_0008_0003,19.7515,599,668,516,33.82,0.02303
gpt-5.5,hand-en-polsklachten_0010_0001,14.7687,1261,516,376,34.94,0.02178
gpt-5.5,dementie_0006_0001,11.9466,1496,371,238,31.05,0.01861
gpt-5.5,angst_0009_0002,9.6122,1906,346,242,36.0,0.01991
